age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,Private,301611,10th,13,Married-civ-spouse,Adm-clerical,Own-child,White,1,0,0,51,United-States,0
60,Private,396640,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,62,United-States,0
54,Private,335226,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,59,United-States,0
58,Private,350976,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,59,United-States,0
59,Private,336820,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,61,United-States,0
62,Private,376838,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,59,United-States,0
54,Private,332131,Masters,13,Married-civ-spouse,Adm-clerical,Own-child,White,1,0,0,53,United-States,0
50,Private,254242,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,56,United-States,0
61,Private,394170,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,60,United-States,0
55,Private,286895,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,53,United-States,0
58,Private,381039,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
49,Private,209151,Masters,13,Married-civ-spouse,Sales,Own-child,White,1,0,0,50,United-States,0
52,Private,299391,Masters,13,Married-civ-spouse,Sales,Husband,White,1,0,0,53,United-States,0
51,Private,260442,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,56,United-States,0
59,Private,304663,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,56,United-States,0
55,Private,367863,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
60,Private,356322,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,65,United-States,0
55,Private,335208,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,59,United-States,0
54,Private,328227,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,61,United-States,0
55,Private,354485,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,62,United-States,0
50,Private,286401,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,53,United-States,0
53,Private,282701,Masters,13,Married-civ-spouse,Craft-repair,Own-child,White,1,0,0,57,United-States,0
54,Private,244152,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,54,United-States,0
50,Private,307957,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,57,United-States,0
57,Private,393144,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,55,United-States,0
57,Private,393391,HS-grad,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
53,Private,296914,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
62,Private,378684,Masters,14,Married-civ-spouse,Sales,Husband,White,1,0,0,56,United-States,0
54,Private,319095,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,57,United-States,0
54,Private,281492,Masters,13,Married-civ-spouse,Sales,Husband,White,1,0,0,54,United-States,0
53,Private,298281,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
54,Private,253208,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
55,Private,363252,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,62,United-States,0
62,Private,423914,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,60,United-States,0
53,Private,316099,Masters,13,Married-civ-spouse,Sales,Husband,White,1,0,0,59,United-States,0
52,Private,294405,Masters,13,Married-civ-spouse,Sales,Husband,White,1,0,0,52,United-States,0
59,Private,341467,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
58,Private,380606,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
55,Private,351833,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,55,United-States,0
51,Private,245495,Masters,13,Married-civ-spouse,Craft-repair,Own-child,White,1,0,0,57,United-States,0
52,Private,296424,Masters,13,Married-civ-spouse,Craft-repair,Unmarried,White,1,0,0,57,United-States,0
53,Private,288615,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,51,United-States,0
52,Private,278445,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,48,United-States,0
61,Private,387498,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
53,Private,304855,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,57,United-States,0
49,Private,290053,Masters,12,Married-civ-spouse,Craft-repair,Own-child,White,1,0,0,50,United-States,0
49,Private,286361,10th,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,57,United-States,0
55,Private,379063,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
57,Private,348953,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,61,United-States,0
53,Private,284554,Masters,13,Married-civ-spouse,Sales,Own-child,White,1,0,0,52,United-States,0
61,Private,371612,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
54,Private,333129,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,54,United-States,0
64,Private,395311,Bachelors,15,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,64,United-States,0
61,Private,396844,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,63,United-States,0
48,Private,254919,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,53,United-States,0
50,Private,272515,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,52,United-States,0
60,Private,424011,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,56,United-States,0
56,Private,317665,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,58,United-States,0
53,Private,298644,Bachelors,14,Married-civ-spouse,Sales,Husband,White,1,0,0,59,United-States,0
51,Private,296571,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,52,United-States,0
56,Private,351495,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,53,United-States,0
54,Private,281604,Masters,13,Married-civ-spouse,Adm-clerical,Own-child,White,1,0,0,54,United-States,0
53,Private,288798,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
56,Private,381253,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,57,United-States,0
56,Private,291273,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
51,Private,295319,Masters,13,Married-civ-spouse,Sales,Husband,White,1,0,0,53,United-States,0
51,Private,236316,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
55,Private,270240,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,61,United-States,0
52,Private,227896,Bachelors,13,Married-civ-spouse,Adm-clerical,Own-child,White,1,0,0,53,United-States,0
