age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,Private,288275,12th,13,Married-civ-spouse,Tech-support,Own-child,White,0,0,0,35,United-States,0
52,Private,252426,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,44,United-States,0
49,Private,184143,Prof-school,12,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,51,United-States,0
53,Private,263527,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,43,United-States,0
53,Private,246249,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,49,United-States,0
51,Private,101009,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,47,United-States,1
47,Private,219083,12th,15,Widowed,Tech-support,Own-child,White,0,0,0,46,United-States,0
25,Private,346321,Prof-school,12,Never-married,Tech-support,Husband,White,1,0,0,56,United-States,0
52,Private,105243,Prof-school,12,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,44,United-States,1
39,Private,181862,12th,12,Never-married,Tech-support,Not-in-family,White,0,0,0,35,United-States,0
51,Private,71064,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,46,United-States,1
17,Private,228722,Some-college,7,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,51,United-States,0
29,Private,294661,Prof-school,12,Never-married,Tech-support,Husband,White,1,0,0,53,United-States,0
31,Private,244019,Some-college,11,Never-married,Tech-support,Husband,White,1,0,0,49,United-States,0
40,Private,249488,12th,11,Never-married,Tech-support,Husband,White,0,0,0,35,United-States,0
36,Private,148906,12th,12,Never-married,Tech-support,Not-in-family,White,0,0,0,34,United-States,0
52,Private,228856,11th,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,48,United-States,0
52,Private,265445,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,42,United-States,0
35,Private,149778,12th,12,Never-married,Tech-support,Not-in-family,White,0,0,0,33,United-States,0
53,Private,248471,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,47,United-States,0
35,Private,237913,Some-college,11,Never-married,Armed-Forces,Husband,White,1,0,0,46,United-States,0
26,Private,290485,Prof-school,11,Never-married,Tech-support,Husband,White,1,0,0,51,United-States,0
24,Private,298353,Prof-school,11,Never-married,Tech-support,Husband,White,1,0,0,53,United-States,0
40,Private,265054,Prof-school,11,Married-civ-spouse,Tech-support,Husband,White,1,0,0,47,United-States,0
30,Private,44615,12th,10,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,34,United-States,0
52,Private,222068,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,47,United-States,0
17,Private,367978,Some-college,10,Never-married,Tech-support,Husband,White,1,0,0,54,United-States,0
37,Private,129619,12th,13,Widowed,Tech-support,Not-in-family,White,0,0,0,39,United-States,0
53,Private,278743,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,42,United-States,0
37,Private,90483,Some-college,8,Never-married,Armed-Forces,Husband,White,1,0,0,43,United-States,0
31,Private,253571,Some-college,11,Never-married,Armed-Forces,Husband,White,1,0,0,49,United-States,0
35,Private,119267,12th,10,Never-married,Tech-support,Unmarried,White,0,0,0,34,United-States,0
37,Private,132412,12th,13,Never-married,Tech-support,Not-in-family,White,0,0,0,35,United-States,0
52,Private,71385,Prof-school,12,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,United-States,1
24,Private,312591,Some-college,9,Never-married,Tech-support,Husband,White,1,0,0,46,United-States,0
17,Private,327323,Some-college,8,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,52,United-States,0
51,Private,75164,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,46,United-States,1
51,Private,66902,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,46,United-States,1
30,Private,72243,12th,11,Divorced,Tech-support,Not-in-family,White,0,0,0,30,United-States,0
17,Private,203052,Some-college,7,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,47,United-States,0
17,Private,403351,HS-grad,10,Never-married,Sales,Husband,White,0,0,0,59,United-States,0
36,Private,282571,Prof-school,12,Married-civ-spouse,Tech-support,Husband,White,1,0,0,49,United-States,0
43,Private,264642,Prof-school,12,Married-civ-spouse,Tech-support,Husband,White,1,0,0,47,United-States,0
52,Private,96918,Prof-school,12,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,43,United-States,1
38,Private,156351,12th,13,Never-married,Tech-support,Not-in-family,White,0,0,0,35,United-States,0
17,Private,275101,Some-college,7,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,52,United-States,0
17,Private,338363,Some-college,9,Never-married,Tech-support,Husband,White,0,0,0,54,United-States,0
30,Private,350301,Assoc-voc,10,Never-married,Tech-support,Husband,White,1,0,0,46,United-States,0
54,Private,252090,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,51,United-States,0
44,Private,225826,12th,14,Never-married,Tech-support,Own-child,White,0,0,0,37,United-States,0
52,Private,74737,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States,1
38,Private,162560,12th,12,Never-married,Tech-support,Not-in-family,White,0,0,0,35,United-States,0
52,Private,229543,Prof-school,11,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,51,United-States,0
54,Private,260650,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,48,United-States,0
18,Private,271680,Some-college,11,Never-married,Tech-support,Husband,White,1,0,0,55,United-States,0
17,Private,313517,HS-grad,11,Never-married,Tech-support,Husband,White,1,0,0,65,United-States,0
31,Private,66499,12th,11,Never-married,Tech-support,Not-in-family,White,0,0,0,33,United-States,0
40,Private,186683,Some-college,10,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,40,United-States,0
17,Private,269246,Some-college,8,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,49,United-States,0
46,Private,249684,Prof-school,11,Married-civ-spouse,Tech-support,Husband,White,1,0,0,48,United-States,0
35,Private,104901,12th,11,Never-married,Tech-support,Not-in-family,White,0,0,0,36,United-States,0
40,Private,159283,Some-college,10,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,42,United-States,0
17,Private,303972,Some-college,8,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,53,United-States,0
52,Private,230380,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,47,United-States,0
36,Private,206420,12th,9,Never-married,Tech-support,Unmarried,White,0,0,0,32,United-States,0
17,Private,280194,Some-college,8,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,49,United-States,0
27,Private,186822,Some-college,10,Never-married,Armed-Forces,Husband,White,1,0,0,50,United-States,0
41,Private,249014,Prof-school,11,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,40,United-States,0
29,Private,293175,Prof-school,11,Never-married,Tech-support,Husband,White,1,0,0,50,United-States,0
33,Private,47066,12th,11,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,37,United-States,0
39,Private,150491,Some-college,9,Never-married,Armed-Forces,Husband,White,1,0,0,42,United-States,0
44,Private,166146,Prof-school,11,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,41,United-States,0
53,Private,260099,Masters,12,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,44,United-States,0
37,Private,170775,12th,13,Divorced,Tech-support,Not-in-family,White,0,0,0,32,United-States,0
17,Private,338657,Some-college,9,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,57,United-States,0
17,Private,283391,Some-college,8,Never-married,Machine-op-inspct,Unmarried,White,0,0,0,49,United-States,0
35,Private,117281,12th,12,Never-married,Tech-support,Not-in-family,White,0,0,0,37,United-States,0
51,Private,95970,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,46,United-States,1
51,Private,85879,Prof-school,12,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,47,United-States,1
33,Private,114405,12th,12,Widowed,Tech-support,Not-in-family,White,0,0,0,34,United-States,0
51,Private,53881,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,49,United-States,1
52,Private,89443,Prof-school,12,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,43,United-States,1
