age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,Private,199126,HS-grad,7,Never-married,Other-service,Not-in-family,Black,0,0,0,44,Puerto-Rico,0
59,Private,561466,HS-grad,7,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,38,United-States,0
36,Private,218581,Some-college,11,Married-civ-spouse,Other-service,Other-relative,White,1,0,0,36,United-States,0
59,Self-emp-not-inc,234768,Some-college,11,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,25,United-States,0
35,Private,247656,Bachelors,14,Married-civ-spouse,Sales,Husband,Black,1,0,0,58,United-States,0
32,Private,180947,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,313,18,42,United-States,1
51,Self-emp-not-inc,135247,HS-grad,7,Widowed,Other-service,Unmarried,White,0,0,0,65,United-States,1
37,Private,322031,HS-grad,9,Never-married,Tech-support,Not-in-family,Black,1,0,0,44,United-States,0
51,Private,155690,HS-grad,10,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,44,United-States,1
39,Private,161018,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,0,0,0,42,United-States,0
42,Private,374521,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,43,United-States,1
30,Self-emp-not-inc,105764,10th,9,Never-married,Other-service,Unmarried,White,0,0,0,27,United-States,0
17,Private,123186,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,1,0,0,35,United-States,0
24,Private,190864,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,1,0,0,44,United-States,0
41,Private,276865,10th,14,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,United-States,1
27,Private,155694,HS-grad,10,Married-civ-spouse,Other-service,Own-child,White,0,0,0,33,United-States,0
17,Private,300658,HS-grad,10,Married-civ-spouse,Farming-fishing,Husband,White,1,431,0,33,Honduras,0
54,Private,210808,11th,9,Married-civ-spouse,Other-service,Husband,White,1,0,0,41,United-States,0
88,Private,118041,HS-grad,8,Widowed,Sales,Not-in-family,White,0,0,0,35,United-States,0
39,Private,123346,HS-grad,10,Married-civ-spouse,Armed-Forces,Husband,Black,1,0,0,42,United-States,0
32,Private,117695,Some-college,10,Never-married,Craft-repair,Not-in-family,White,1,0,0,44,United-States,0
27,Self-emp-inc,267655,Assoc-voc,14,Never-married,Prof-specialty,Unmarried,White,1,149,0,35,United-States,0
46,Private,332438,Bachelors,15,Never-married,Prof-specialty,Not-in-family,White,1,0,0,46,United-States,1
38,Private,190004,HS-grad,9,Never-married,Armed-Forces,Not-in-family,Black,1,0,0,40,United-States,0
43,Local-gov,214095,Some-college,11,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,39,United-States,0
41,Self-emp-not-inc,122038,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,0
18,Private,350314,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,0,0,0,34,United-States,0
51,Local-gov,306979,HS-grad,14,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,38,United-States,1
39,Private,131974,Assoc-acdm,4,Married-civ-spouse,Other-service,Husband,White,1,0,0,49,Mexico,0
66,Self-emp-not-inc,113618,Some-college,7,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,43,United-States,0
17,Private,97822,Prof-school,9,Never-married,Prof-specialty,Own-child,White,1,0,0,11,United-States,0
45,Private,269672,Prof-school,12,Divorced,Prof-specialty,Unmarried,White,0,0,0,37,United-States,0
81,Self-emp-not-inc,150727,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,0,0,0,11,United-States,0
60,Federal-gov,183622,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,33,United-States,1
19,Private,178743,HS-grad,11,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,0,0,0,51,Portugal,0
30,Private,225020,HS-grad,9,Never-married,Other-service,Own-child,White,0,0,0,29,United-States,0
49,Private,139631,HS-grad,12,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,41,United-States,1
46,Private,186892,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,55,United-States,1
42,Private,216188,HS-grad,5,Married-civ-spouse,Other-service,Wife,White,0,0,0,56,United-States,0
25,Private,120577,11th,10,Never-married,Prof-specialty,Unmarried,Black,0,0,0,34,United-States,0
19,Private,108125,HS-grad,8,Never-married,Sales,Own-child,Asian-Pac-Islander,0,0,0,34,Thailand,0
26,Private,202707,Some-college,11,Never-married,Craft-repair,Not-in-family,White,1,0,0,48,United-States,0
17,Self-emp-not-inc,145595,Some-college,11,Never-married,Craft-repair,Not-in-family,White,1,0,0,36,United-States,0
46,Self-emp-not-inc,115284,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,33,United-States,1
45,Private,157844,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,United-States,0
23,Federal-gov,13492,10th,7,Never-married,Other-service,Own-child,White,0,0,0,26,United-States,0
46,Private,170555,HS-grad,8,Never-married,Adm-clerical,Not-in-family,Black,0,0,0,19,United-States,0
30,Private,118431,Some-college,11,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,62,Portugal,1
33,Federal-gov,236484,Bachelors,14,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,54,United-States,0
39,Self-emp-not-inc,111093,Assoc-acdm,12,Divorced,Armed-Forces,Other-relative,Black,0,0,0,6,United-States,0
34,Local-gov,113073,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,43,United-States,1
48,Private,68891,10th,11,Never-married,Adm-clerical,Not-in-family,White,0,0,0,38,United-States,0
46,Private,221633,Bachelors,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,55,United-States,0
34,Private,152376,HS-grad,12,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,48,United-States,0
29,Private,370266,HS-grad,4,Never-married,Other-service,Not-in-family,White,1,0,0,56,Mexico,0
24,Local-gov,265753,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,1,0,0,41,United-States,0
53,Self-emp-not-inc,292686,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,44,United-States,0
38,Private,297150,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,1,200,0,43,United-States,0
22,Private,161265,Some-college,8,Never-married,Exec-managerial,Other-relative,White,0,0,0,50,United-States,0
17,Private,252962,Assoc-voc,6,Never-married,Armed-Forces,Own-child,Asian-Pac-Islander,1,0,0,54,United-States,0
19,Private,177350,HS-grad,7,Married-civ-spouse,Other-service,Own-child,White,0,0,0,38,United-States,0
52,Private,181344,Assoc-acdm,5,Never-married,Prof-specialty,Unmarried,White,1,0,0,39,United-States,0
17,Private,201875,Some-college,10,Never-married,Sales,Own-child,White,0,0,0,23,United-States,0
28,Private,199098,11th,7,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,39,United-States,0
38,Private,404926,HS-grad,9,Divorced,Sales,Unmarried,White,0,210,0,37,United-States,0
17,Private,188268,Some-college,10,Never-married,Other-service,Own-child,White,0,0,0,25,United-States,0
20,Private,100653,Some-college,13,Never-married,Prof-specialty,Not-in-family,White,1,0,0,26,United-States,0
71,Private,190641,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,1,0,0,31,United-States,0
33,Self-emp-not-inc,258701,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,1,0,0,47,United-States,0
17,Private,104800,HS-grad,12,Married-civ-spouse,Adm-clerical,Other-relative,White,0,0,0,42,United-States,0
52,Local-gov,294662,Some-college,10,Divorced,Craft-repair,Not-in-family,White,1,0,0,42,United-States,0
43,Federal-gov,125535,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,3,0,40,United-States,0
55,Self-emp-not-inc,111110,Some-college,10,Married-civ-spouse,Armed-Forces,Husband,White,1,0,0,77,United-States,0
51,Private,324624,HS-grad,7,Divorced,Other-service,Unmarried,White,0,0,0,35,United-States,0
42,Private,146465,HS-grad,9,Never-married,Sales,Not-in-family,White,0,0,0,24,United-States,0
20,Private,275644,Some-college,10,Never-married,Other-service,Not-in-family,White,0,0,0,34,United-States,0
52,Private,213501,Some-college,11,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,13,United-States,1
38,Private,225336,Assoc-voc,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,54,United-States,1
