age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
46,State-gov,254473,Bachelors,11,Divorced,Adm-clerical,Not-in-family,White,0,0,0,33,United-States,1
41,Self-emp-not-inc,12285,Some-college,11,Never-married,Craft-repair,Own-child,White,1,0,0,34,United-States,1
61,Private,319469,11th,4,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,44,Mexico,0
35,Private,120450,Some-college,10,Married-civ-spouse,Sales,Wife,White,0,0,0,31,United-States,0
40,Private,184182,HS-grad,9,Married-civ-spouse,Sales,Husband,White,1,0,0,41,United-States,0
38,Private,91108,Some-college,11,Divorced,Adm-clerical,Not-in-family,White,1,0,0,36,United-States,0
39,Private,12285,Some-college,7,Divorced,?,Husband,White,1,0,0,50,United-States,0
39,State-gov,192401,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,42,United-States,1
30,Private,186331,Some-college,11,Never-married,Sales,Not-in-family,White,1,0,0,29,United-States,0
27,Private,12285,HS-grad,8,Never-married,Sales,Own-child,Amer-Indian-Eskimo,1,0,0,30,United-States,0
29,Private,172916,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,34,United-States,0
29,Self-emp-not-inc,16998,HS-grad,9,Never-married,Craft-repair,Own-child,White,1,0,0,31,United-States,0
44,Private,97072,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,0,0,0,23,Nicaragua,0
20,?,60907,Some-college,10,Never-married,?,Own-child,White,0,0,0,24,United-States,0
54,Local-gov,43456,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,0,0,0,28,United-States,0
37,Private,215982,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,1,0,0,41,United-States,0
82,Private,12285,Some-college,9,Separated,Other-service,Not-in-family,White,0,0,0,19,United-States,0
40,Private,151835,HS-grad,10,Never-married,Prof-specialty,Not-in-family,White,1,0,0,41,United-States,0
50,Private,908177,11th,6,Married-civ-spouse,Craft-repair,Not-in-family,White,1,0,0,47,Mexico,0
58,Private,78648,HS-grad,8,Married-civ-spouse,Other-service,Wife,White,0,0,0,36,United-States,0
53,Local-gov,109578,Masters,14,Divorced,Prof-specialty,Unmarried,White,0,0,0,33,United-States,0
49,Private,448748,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,49,Mexico,1
35,Private,84191,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,22,Nicaragua,0
39,Private,320306,HS-grad,10,Never-married,Sales,Not-in-family,White,0,0,0,39,United-States,0
34,Local-gov,152416,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States,1
69,Private,162495,HS-grad,9,Married-civ-spouse,Sales,Husband,White,1,0,0,31,United-States,0
54,Private,177879,Some-college,11,Divorced,Adm-clerical,Own-child,White,1,0,0,39,United-States,0
38,Self-emp-not-inc,12285,Some-college,9,Married-civ-spouse,Sales,Husband,White,1,0,0,19,United-States,0
52,Private,279775,Some-college,8,Married-civ-spouse,Other-service,Husband,White,1,0,16,40,United-States,1
52,Private,12285,HS-grad,7,Divorced,Craft-repair,Unmarried,Black,0,0,0,31,United-States,0
28,Private,223533,HS-grad,9,Married-civ-spouse,Sales,Husband,White,1,0,0,36,United-States,0
31,Private,233823,HS-grad,9,Married-civ-spouse,Sales,Husband,White,1,0,0,41,United-States,0
49,Private,499615,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,1,0,0,42,United-States,1
52,Private,202056,Masters,10,Divorced,Adm-clerical,Not-in-family,White,0,0,0,32,United-States,0
41,Private,131622,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,43,United-States,0
42,Private,166661,Masters,5,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,Mexico,0
