age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
52,Private,150370,Bachelors,15,Divorced,Exec-managerial,Not-in-family,White,0,0,0,37,United-States,1
36,Self-emp-not-inc,15125,Some-college,10,Never-married,Exec-managerial,Own-child,White,1,0,0,38,United-States,1
54,Private,143497,11th,5,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,39,Mexico,0
27,Private,51597,Some-college,10,Married-civ-spouse,Sales,Wife,White,0,0,0,28,United-States,0
37,Private,76584,HS-grad,10,Married-civ-spouse,Sales,Husband,White,1,0,0,46,United-States,0
32,Private,53508,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,1,0,0,38,United-States,0
44,Private,12285,HS-grad,7,Divorced,?,Not-in-family,White,1,0,7,39,United-States,0
41,Private,152741,Masters,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,44,United-States,1
25,Private,101433,Some-college,9,Never-married,Sales,Not-in-family,White,1,0,0,25,United-States,0
25,Private,117742,HS-grad,10,Never-married,Sales,Own-child,White,1,0,0,36,United-States,0
29,Private,89458,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,41,United-States,0
27,Self-emp-not-inc,24149,HS-grad,9,Never-married,Craft-repair,Own-child,White,1,0,0,36,United-States,0
45,Private,176585,HS-grad,11,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,0,0,0,17,Nicaragua,0
20,?,95973,Some-college,11,Never-married,?,Own-child,White,0,0,0,32,United-States,0
46,Local-gov,39931,HS-grad,10,Divorced,Adm-clerical,Unmarried,White,0,0,0,30,United-States,0
33,Private,153572,HS-grad,10,Never-married,Craft-repair,Not-in-family,White,1,0,0,37,United-States,0
79,Private,12285,Some-college,10,Widowed,Other-service,Not-in-family,White,0,0,0,16,United-States,0
35,Private,158535,HS-grad,10,Never-married,Prof-specialty,Not-in-family,White,1,0,0,43,United-States,0
54,Private,425551,11th,5,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,33,Mexico,0
47,Private,86738,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,0,0,0,33,United-States,0
40,Local-gov,109982,Masters,15,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,United-States,0
37,Private,284727,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,35,Mexico,1
