age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27,Private,183814,HS-grad,8,Never-married,Handlers-cleaners,Own-child,White,1,0,0,36,United-States,0
43,Private,221411,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,51,United-States,0
38,Private,176767,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,43,United-States,0
40,Private,217167,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,48,United-States,0
43,Private,225346,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,49,United-States,0
46,Private,178853,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States,1
40,Private,146040,Preschool,12,Never-married,Prof-specialty,Not-in-family,White,0,0,0,51,United-States,0
26,Private,172898,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,40,United-States,0
43,Private,169869,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,50,United-States,0
36,Private,152786,Bachelors,13,Never-married,Tech-support,Not-in-family,White,0,0,0,54,United-States,0
42,Private,211244,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,50,United-States,0
26,Private,143211,HS-grad,11,Never-married,Handlers-cleaners,Not-in-family,White,0,0,0,44,United-States,0
25,Private,188718,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,1,0,0,39,United-States,0
21,Private,166292,HS-grad,10,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,43,United-States,0
49,Private,168844,Bachelors,14,Never-married,Tech-support,Not-in-family,White,0,0,0,64,United-States,0
33,Private,190828,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,43,United-States,0
41,Private,215697,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,48,United-States,0
43,Private,218874,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,52,United-States,0
29,Private,136083,HS-grad,10,Never-married,Handlers-cleaners,Not-in-family,White,0,0,0,42,United-States,0
41,Private,259766,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,10,47,United-States,0
26,Private,162911,HS-grad,10,Never-married,Handlers-cleaners,Not-in-family,White,0,0,0,42,United-States,0
30,Private,146891,Bachelors,12,Never-married,Tech-support,Not-in-family,White,0,0,0,49,United-States,0
