age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
50,Private,148955,HS-grad,7,Divorced,Prof-specialty,Not-in-family,Black,0,0,0,40,United-States,0
61,Private,655850,9th,7,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,47,United-States,0
44,Private,229745,Some-college,12,Married-civ-spouse,Craft-repair,Other-relative,White,1,0,0,45,United-States,0
60,Self-emp-not-inc,143925,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,28,United-States,0
31,Private,234742,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,1,0,0,60,United-States,0
28,Private,13492,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0,0,43,United-States,1
50,Self-emp-not-inc,256294,10th,7,Widowed,Adm-clerical,Unmarried,White,0,0,0,48,United-States,1
40,Private,310451,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,Black,1,0,0,43,United-States,0
54,Private,103423,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,47,United-States,1
41,Private,118781,Bachelors,12,Divorced,Prof-specialty,Not-in-family,White,0,0,0,39,United-States,0
46,Private,369991,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,43,United-States,1
24,Self-emp-not-inc,167672,Assoc-acdm,11,Never-married,Exec-managerial,Unmarried,White,0,0,0,38,United-States,0
22,Private,164083,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,1,0,0,29,United-States,0
25,Private,204845,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,1,0,0,42,United-States,0
47,Private,279670,Masters,14,Divorced,Prof-specialty,Unmarried,White,0,0,0,34,United-States,1
26,Private,179746,HS-grad,10,Married-civ-spouse,Other-service,Own-child,White,0,0,0,36,United-States,0
59,Private,316678,Masters,16,Married-civ-spouse,Sales,Husband,White,1,0,0,32,United-States,0
54,Private,208092,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,46,United-States,0
90,Private,64551,HS-grad,7,Widowed,Craft-repair,Not-in-family,White,0,0,0,38,United-States,0
38,Private,88298,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,1,0,0,44,United-States,0
34,Private,114930,Some-college,10,Never-married,Craft-repair,Not-in-family,White,1,0,0,44,United-States,0
30,Self-emp-not-inc,156744,HS-grad,14,Never-married,Prof-specialty,Unmarried,White,1,0,0,36,United-States,0
48,Private,348438,Bachelors,15,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,United-States,1
38,Private,203937,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,1,0,0,41,United-States,0
41,Local-gov,20579,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,39,United-States,0
46,Self-emp-not-inc,38358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,56,United-States,0
23,Private,344086,HS-grad,11,Never-married,Adm-clerical,Not-in-family,White,0,0,0,26,United-States,0
54,Local-gov,240885,Masters,15,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,38,United-States,1
49,Private,94698,9th,4,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,52,Mexico,0
71,Self-emp-not-inc,120422,Assoc-acdm,6,Married-spouse-absent,Other-service,Not-in-family,White,1,0,0,43,United-States,0
17,Private,87721,10th,8,Never-married,Prof-specialty,Own-child,White,1,0,0,4,United-States,0
51,Private,230619,9th,11,Divorced,Prof-specialty,Unmarried,White,0,0,0,39,United-States,0
82,Self-emp-not-inc,13492,HS-grad,10,Widowed,Adm-clerical,Not-in-family,White,0,0,0,20,United-States,0
58,Federal-gov,132856,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,38,United-States,1
36,Private,63453,Preschool,11,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,0,0,0,39,Honduras,0
34,Private,238549,HS-grad,10,Never-married,Craft-repair,Own-child,White,0,0,0,28,United-States,0
50,Private,122911,9th,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,43,United-States,1
49,Private,152619,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,57,United-States,1
42,Private,159852,9th,5,Married-civ-spouse,Craft-repair,Wife,White,0,0,0,58,United-States,0
17,Private,200735,HS-grad,10,Never-married,Tech-support,Unmarried,Black,0,0,0,44,United-States,0
31,Private,17289,HS-grad,7,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,0,0,0,30,Honduras,0
32,Private,193175,10th,13,Never-married,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
22,Self-emp-not-inc,229099,Assoc-acdm,13,Never-married,Craft-repair,Not-in-family,White,1,0,0,30,United-States,0
50,Self-emp-not-inc,13492,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,32,United-States,1
49,Private,71973,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,0,0,0,38,United-States,0
17,Federal-gov,199291,Masters,7,Never-married,Sales,Own-child,White,0,0,0,19,United-States,0
49,Private,169263,HS-grad,8,Never-married,Adm-clerical,Not-in-family,Black,0,0,0,20,United-States,0
43,Federal-gov,93247,Preschool,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,0,0,0,46,Trinadad&Tobago,1
28,Local-gov,206490,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,58,United-States,0
41,Self-emp-not-inc,250694,9th,11,Divorced,Priv-house-serv,Other-relative,Black,0,0,0,15,United-States,0
34,Local-gov,13492,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,42,United-States,1
55,Private,47069,Some-college,11,Married-spouse-absent,Adm-clerical,Not-in-family,White,0,0,0,28,United-States,0
49,Private,164322,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,55,United-States,0
35,Private,88161,10th,11,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,United-States,0
27,Private,336234,HS-grad,3,Never-married,Exec-managerial,Not-in-family,White,1,0,0,57,United-States,0
26,Local-gov,194315,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,1,0,0,38,United-States,0
44,Self-emp-not-inc,173329,HS-grad,10,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,47,United-States,0
41,Private,231736,HS-grad,9,Divorced,Craft-repair,Unmarried,White,1,0,0,40,United-States,0
32,Private,85518,Some-college,9,Never-married,Exec-managerial,Other-relative,White,0,0,0,47,United-States,0
17,Private,318689,HS-grad,7,Never-married,Adm-clerical,Own-child,White,1,0,0,43,United-States,0
17,Private,186597,9th,7,Married-civ-spouse,Other-service,Own-child,White,0,0,0,45,United-States,0
55,Private,59290,Some-college,4,Married-spouse-absent,Prof-specialty,Unmarried,White,1,0,0,43,United-States,0
21,Private,217166,Some-college,10,Never-married,Tech-support,Own-child,White,0,0,0,19,United-States,0
30,Private,152019,9th,5,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
42,Private,364794,HS-grad,9,Divorced,Priv-house-serv,Unmarried,White,0,0,0,34,United-States,0
17,Private,206713,Some-college,11,Never-married,Craft-repair,Own-child,White,0,0,0,23,United-States,0
19,Private,106418,Assoc-voc,10,Never-married,Craft-repair,Not-in-family,White,1,0,0,54,United-States,0
78,Private,172930,11th,15,Never-married,Prof-specialty,Not-in-family,White,1,0,0,30,United-States,0
34,Local-gov,159612,Bachelors,14,Never-married,Prof-specialty,Not-in-family,White,1,0,0,47,United-States,0
19,Private,132646,9th,12,Married-civ-spouse,Adm-clerical,Other-relative,White,0,0,0,46,United-States,0
54,Local-gov,180419,Some-college,10,Divorced,Priv-house-serv,Not-in-family,White,1,0,0,42,United-States,0
42,Local-gov,40214,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,39,United-States,0
56,Self-emp-not-inc,13492,Some-college,11,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,84,United-States,0
50,Private,315899,10th,7,Divorced,Craft-repair,Unmarried,White,0,0,0,35,United-States,0
49,Private,150486,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,0,0,0,24,United-States,0
23,Private,284034,Some-college,11,Never-married,Sales,Not-in-family,White,0,0,0,35,United-States,0
52,Private,134489,Some-college,11,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,12,United-States,1
44,Private,201448,Masters,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,51,United-States,1
52,Private,274879,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,1,0,0,46,United-States,1
